"","coiid","nationalmusym","dmuiid","musym","muname","mustatus","compname","comppct_r","slope_l","slope_h","drainagecl","ecosite_id","taxclname","pmkind","pmorigin","landform_string","modaldepthcl","drange"
"548",2630326,"2djcp",539608,"6042","Mantree medial loam, 8 to 15 percent slopes","approved","Musick",10,8,15,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","mountain slope","VD","None"
"545",2630322,"2djcp",539608,"6042","Mantree medial loam, 8 to 15 percent slopes","approved","Redapple",10,8,15,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","mountain slope","VD","MD"
"543",2630320,"2djcn",539609,"6043","Mantree medial loam, 15 to 30 percent slopes","approved","Mantree",70,15,30,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Typic Haploxerults","colluvium & residuum","tuff breccia & granodiorite","erosion remnant","VD","None"
"552",2635131,"2djcn",539609,"6043","Mantree medial loam, 15 to 30 percent slopes","approved","Holland",10,15,30,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granodiorite","mountain slope","D","D"
"549",2635127,"2djcn",539609,"6043","Mantree medial loam, 15 to 30 percent slopes","approved","Musick",10,15,30,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid & diorite","mountain slope","VD","None"
"546",2630324,"2djcn",539609,"6043","Mantree medial loam, 15 to 30 percent slopes","approved","Redapple",10,15,30,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","mountain slope","VD","MD"
"292",2516847,"2x4cg",793477,"6054","Shaver-Holland-Chawanakee complex, 8 to 30 percent slopes","provisional","Shaver",40,8,30,"well","F022AI201CA","Coarse-loamy, superactive, mesic Pachic Humixerepts","colluvium","granodiorite","hill","D","D"
"291",2516846,"2x4cg",793477,"6054","Shaver-Holland-Chawanakee complex, 8 to 30 percent slopes","provisional","Holland",30,8,30,"well","F022AI201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granodiorite","hill","D","D"
"293",2516848,"2x4cg",793477,"6054","Shaver-Holland-Chawanakee complex, 8 to 30 percent slopes","provisional","Chawanakee",28,8,30,"somewhat excessively","R018XI105CA","Loamy, mixed, active, mesic, shallow Typic Dystroxerepts","colluvium & residuum","granodiorite","hill","S","S"
"294",2516849,"2x4cg",793477,"6054","Shaver-Holland-Chawanakee complex, 8 to 30 percent slopes","provisional","Rock outcrop",2,8,30,NA,NA,NA,NA,NA,"hill","NA","None"
"296",2516852,"2x4ch",793478,"6055","Shaver-Lithic Humixerepts-Holland complex, 30 to 60 percent slopes","provisional","Shaver",40,30,60,"well","F022AI201CA","Coarse-loamy, superactive, mesic Pachic Humixerepts","colluvium","granodiorite","hill","D","D"
"297",2516853,"2x4ch",793478,"6055","Shaver-Lithic Humixerepts-Holland complex, 30 to 60 percent slopes","provisional","Lithic Humixerepts",35,30,60,"somewhat excessively","R018XI105CA","Loamy, mixed, superactive, mesic Lithic Humixerepts","colluvium & residuum","granodiorite","hill","VS","VS-S"
"295",2516851,"2x4ch",793478,"6055","Shaver-Lithic Humixerepts-Holland complex, 30 to 60 percent slopes","provisional","Holland",20,30,60,"well","F022AI201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granodiorite","hill","D","D"
"298",2516854,"2x4ch",793478,"6055","Shaver-Lithic Humixerepts-Holland complex, 30 to 60 percent slopes","provisional","Rock outcrop",5,30,60,NA,NA,NA,NA,NA,"hill","NA","None"
"68",1842266,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Sierra",40,0,8,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","VD","None"
"67",1842264,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Verjeles",36,0,8,"moderately well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","MD","MD"
"21",1789124,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Aquic Haploxeralfs",15,0,8,"somewhat poorly","R018XI111CA","Fine-loamy, mixed, active, thermic Aquic Haploxeralfs","colluvium & residuum","granitoid","hill","D","MD-D"
"290",2516844,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Hurleton",5,0,8,"well","F018XI205CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","MD","MD"
"343",2516945,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Aqualfs",2,0,8,"poorly","R018XI111CA","Thermic Aqualfs","slope alluvium & alluvium","granitoid","hill","MD","MD-D"
"289",2516843,"2lk4t",542854,"6070","Sierra-Verjeles-Aquic Haploxeralfs complex, 0 to 8 percent slopes","provisional","Rock outcrop",2,0,8,NA,NA,NA,NA,NA,"hill","NA","None"
"65",1840442,"2myb3",551209,"6071","Sierra-Flanly complex, 3 to 15 percent slopes","provisional","Sierra",46,3,15,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"69",1842269,"2myb3",551209,"6071","Sierra-Flanly complex, 3 to 15 percent slopes","provisional","Flanly",40,3,15,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"70",1842270,"2myb3",551209,"6071","Sierra-Flanly complex, 3 to 15 percent slopes","provisional","Hurleton",10,3,15,"well","F018XI205CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"64",1840441,"2myb3",551209,"6071","Sierra-Flanly complex, 3 to 15 percent slopes","provisional","Rock outcrop",4,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"242",2482844,"2x4c8",789274,"6072","Flanly-Verjeles complex, 0 to 8 percent slopes","provisional","Flanly",74,0,8,"well","F018XI200CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","residuum & colluvium & colluvium & residuum","gabbro & diorite","low hill","MD","MD"
"375",2528832,"2x4c8",789274,"6072","Flanly-Verjeles complex, 0 to 8 percent slopes","provisional","Verjeles",15,0,8,"moderately well","F018XI200CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","residuum & colluvium & colluvium & residuum","gabbro & diorite","low hill","MD","MD"
"376",2528833,"2x4c8",789274,"6072","Flanly-Verjeles complex, 0 to 8 percent slopes","provisional","Auberry",10,0,8,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & colluvium & residuum & residuum","diorite & gabbro","low hill","D","D"
"377",2528834,"2x4c8",789274,"6072","Flanly-Verjeles complex, 0 to 8 percent slopes","provisional","Rock outcrop",1,0,8,NA,NA,NA,NA,NA,"low hill","NA","None"
"22",1789128,"2lk4x",542857,"6074","Sierra-Orose complex, 8 to 30 percent slopes","provisional","Sierra",70,8,30,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"158",2045867,"2lk4x",542857,"6074","Sierra-Orose complex, 8 to 30 percent slopes","provisional","Orose",15,8,30,"somewhat excessively","F018XI205CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","diorite","hill","S","S"
"52",1823305,"2lk4x",542857,"6074","Sierra-Orose complex, 8 to 30 percent slopes","provisional","Hurleton",8,8,30,"well","F018XI205CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"71",1842290,"2lk4x",542857,"6074","Sierra-Orose complex, 8 to 30 percent slopes","provisional","Rock outcrop",4,8,30,NA,NA,NA,NA,NA,"hill","NA","None"
"288",2516840,"2lk4x",542857,"6074","Sierra-Orose complex, 8 to 30 percent slopes","provisional","Aqualfs",3,0,8,"poorly","R018XI111CA","Thermic Aqualfs","colluvium & residuum","diorite","drainageway","MD","MD-D"
"24",1789130,"2lk4y",542858,"6075","Sierra-Flanly complex, 30 to 60 percent slopes","provisional","Sierra",50,30,60,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","D","D"
"72",1842291,"2lk4y",542858,"6075","Sierra-Flanly complex, 30 to 60 percent slopes","provisional","Flanly",30,30,60,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"73",1842292,"2lk4y",542858,"6075","Sierra-Flanly complex, 30 to 60 percent slopes","provisional","Hurleton",10,30,60,"well","R018XI105CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"23",1789129,"2lk4y",542858,"6075","Sierra-Flanly complex, 30 to 60 percent slopes","provisional","Orose",5,30,60,"somewhat excessively","F018XI205CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","diorite","hill","S","S"
"74",1842293,"2lk4y",542858,"6075","Sierra-Flanly complex, 30 to 60 percent slopes","provisional","Rock outcrop",5,30,60,NA,NA,NA,NA,NA,"hill","NA","None"
"30",1792385,"2lk4z",543508,"6076","Auberry-Hurleton-Rock outcrop complex, 20 to 60 percent slopes","provisional","Auberry",45,20,60,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","canyon","D","D"
"75",1842295,"2lk4z",543508,"6076","Auberry-Hurleton-Rock outcrop complex, 20 to 60 percent slopes","provisional","Hurleton",30,20,60,"well","R018XI105CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","canyon","MD","MD"
"31",1792386,"2lk4z",543508,"6076","Auberry-Hurleton-Rock outcrop complex, 20 to 60 percent slopes","provisional","Rock outcrop",25,20,90,NA,NA,NA,NA,NA,"canyon","NA","None"
"237",2482839,"2x4c6",789273,"6078","Sierra-Flanly complex, 15 to 65 percent slopes","provisional","Sierra",55,15,65,"well","R018XI106CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","VD","None"
"238",2482840,"2x4c6",789273,"6078","Sierra-Flanly complex, 15 to 65 percent slopes","provisional","Flanly",30,15,65,"well","R018XI106CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","MD","MD"
"239",2482841,"2x4c6",789273,"6078","Sierra-Flanly complex, 15 to 65 percent slopes","provisional","Ultic Palexeralfs",8,15,65,"well","R018XI105CA","Clayey-skeletal, mixed, superactive, mesic Ultic Palexeralfs","colluvium & residuum","granitoid","hill","VD","None"
"240",2482842,"2x4c6",789273,"6078","Sierra-Flanly complex, 15 to 65 percent slopes","provisional","Ultic Haploxeralfs",5,15,65,"well","R018XI105CA","Fine, mixed, superactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid","hill","VD","None"
"241",2482843,"2x4c6",789273,"6078","Sierra-Flanly complex, 15 to 65 percent slopes","provisional","Orose",2,15,65,"somewhat excessively","R018XI106CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","residuum","granitoid","hill","S","S"
"374",2528831,"2x4c9",789275,"6079","Flanly loam, 8 to 30 percent slopes","provisional","Flanly",85,8,30,"well","F018XI200CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & colluvium & residuum & residuum","gabbro & diorite","low hill","MD","MD"
"378",2528835,"2x4c9",789275,"6079","Flanly loam, 8 to 30 percent slopes","provisional","Auberry",10,8,30,"well","F018XI205CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & colluvium & residuum & residuum","diorite & gabbro","low hill","D","D"
"379",2528836,"2x4c9",789275,"6079","Flanly loam, 8 to 30 percent slopes","provisional","Rock outcrop",5,8,30,NA,NA,NA,NA,NA,"low hill","NA","None"
"310",2516870,"2lp97",543507,"6202","Musick-Ultic Haploxeralfs, moderately well drained, complex, 1 to 8 percent slopes","provisional","Musick",60,1,8,"well","F022AI202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"311",2516871,"2lp97",543507,"6202","Musick-Ultic Haploxeralfs, moderately well drained, complex, 1 to 8 percent slopes","provisional","Ultic Haploxeralfs",30,1,8,"moderately well","F022AI204CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & slope alluvium & residuum","diorite","hill","MD","MD-D"
"312",2516872,"2lp97",543507,"6202","Musick-Ultic Haploxeralfs, moderately well drained, complex, 1 to 8 percent slopes","provisional","Aquepts",6,0,3,"poorly","F022AI204CA","Mesic Aquepts","slope alluvium & colluvium & residuum","diorite","drainageway & depression","MD","MD-D"
"313",2516873,"2lp97",543507,"6202","Musick-Ultic Haploxeralfs, moderately well drained, complex, 1 to 8 percent slopes","provisional","Rock outcrop",3,1,8,NA,NA,NA,NA,NA,"hill","NA","None"
"249",2482893,"2lp97",543507,"6202","Musick-Ultic Haploxeralfs, moderately well drained, complex, 1 to 8 percent slopes","provisional","Mined land",1,1,5,NA,NA,NA,NA,NA,"drainageway","NA","None"
"308",2516868,"2lk51",542861,"6205","Musick fine sandy loam, 3 to 8 percent slopes","approved","Musick",93,3,8,"well","F022AI201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"307",2516867,"2lk51",542861,"6205","Musick fine sandy loam, 3 to 8 percent slopes","approved","Lithic Dystroxerepts",3,3,8,"somewhat excessively","F022AI201CA","Loamy, mixed, active, mesic Lithic Dystroxerepts","colluvium & residuum","igneous and metamorphic & diorite","hill","S","S"
"309",2516869,"2lk51",542861,"6205","Musick fine sandy loam, 3 to 8 percent slopes","approved","Rock outcrop",3,3,8,NA,NA,NA,NA,NA,"hill","NA","None"
"250",2482894,"2lk51",542861,"6205","Musick fine sandy loam, 3 to 8 percent slopes","approved","Mined land",1,3,8,NA,NA,NA,NA,NA,"drainageway","NA","None"
"299",2516857,"2lk52",542862,"6206","Musick-Hotaw complex, 8 to 30 percent slopes","approved","Musick",69,8,30,"well","F022AI201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"300",2516858,"2lk52",542862,"6206","Musick-Hotaw complex, 8 to 30 percent slopes","approved","Hotaw",25,8,30,"well","F022AI201CA","Fine-loamy, mixed, active, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"301",2516860,"2lk52",542862,"6206","Musick-Hotaw complex, 8 to 30 percent slopes","approved","Rock outcrop",3,8,30,NA,NA,NA,NA,NA,"hill","NA","None"
"306",2516866,"2lk52",542862,"6206","Musick-Hotaw complex, 8 to 30 percent slopes","approved","Aqualfs",2,0,8,"poorly","F022AI204CA","Mesic Aqualfs","colluvium & residuum","diorite","drainageway","MD","MD-D"
"251",2482895,"2lk52",542862,"6206","Musick-Hotaw complex, 8 to 30 percent slopes","approved","Mined land",1,3,20,NA,NA,NA,NA,NA,"drainageway","NA","None"
"302",2516862,"2lk53",542863,"6207","Musick-Hotaw-Chawanakee complex, 30 to 60 percent slopes","approved","Musick",60,30,60,"well","F022AI201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","VD","None"
"303",2516863,"2lk53",542863,"6207","Musick-Hotaw-Chawanakee complex, 30 to 60 percent slopes","approved","Hotaw",20,30,60,"well","F022AI201CA","Fine-loamy, mixed, active, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","hill","MD","MD"
"304",2516864,"2lk53",542863,"6207","Musick-Hotaw-Chawanakee complex, 30 to 60 percent slopes","approved","Chawanakee",15,45,60,"somewhat excessively","R018XI105CA","Loamy, mixed, active, mesic, shallow Typic Dystroxerepts","colluvium & residuum","diorite","hill","S","S"
"305",2516865,"2lk53",542863,"6207","Musick-Hotaw-Chawanakee complex, 30 to 60 percent slopes","approved","Rock outcrop",4,30,60,NA,NA,NA,NA,NA,"hill","NA","None"
"252",2482896,"2lk53",542863,"6207","Musick-Hotaw-Chawanakee complex, 30 to 60 percent slopes","approved","Mined land",1,30,50,NA,NA,NA,NA,NA,"drainageway","NA","None"
"273",2485311,"2rx1d",615237,"7050","Luckymine-Millvilla complex, 3 to 15 percent slopes","provisional","Luckymine",55,3,15,"somewhat excessively","F018XI201CA","Loamy, mixed, active, thermic, shallow Ultic Haploxeralfs","residuum","slate","hill","MD","S-MD"
"274",2485312,"2rx1d",615237,"7050","Luckymine-Millvilla complex, 3 to 15 percent slopes","provisional","Millvilla",40,3,15,"well","F018XI201CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","residuum","metasedimentary, unspecified","hill","MD","MD"
"444",2548332,"2rx1d",615237,"7050","Luckymine-Millvilla complex, 3 to 15 percent slopes","provisional","Rock outcrop",4,3,20,NA,NA,NA,NA,NA,"hill","NA","None"
"253",2482899,"2rx1d",615237,"7050","Luckymine-Millvilla complex, 3 to 15 percent slopes","provisional","Mined land",1,3,15,NA,NA,NA,NA,NA,"low hill","NA","None"
"277",2485322,"2rx1f",615238,"7051","Luckymine-Millvilla-Auburn complex, 15 to 30 percent slopes","provisional","Luckymine",49,15,30,"somewhat excessively","F018XI200CA","Loamy, mixed, active, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","slate","hill","MD","S-MD"
"446",2548334,"2rx1f",615238,"7051","Luckymine-Millvilla-Auburn complex, 15 to 30 percent slopes","provisional","Millvilla",25,15,30,"well","F018XI201CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metasedimentary, unspecified","hill","MD","MD"
"276",2485321,"2rx1f",615238,"7051","Luckymine-Millvilla-Auburn complex, 15 to 30 percent slopes","provisional","Auburn",20,15,30,"well","F018XI201CA","Loamy, mixed, superactive, thermic Lithic Haploxeralfs","colluvium & residuum","metavolcanics","hill","S","S"
"275",2485320,"2rx1f",615238,"7051","Luckymine-Millvilla-Auburn complex, 15 to 30 percent slopes","provisional","Rock outcrop",5,15,30,NA,NA,NA,NA,NA,"hill","NA","None"
"255",2482901,"2rx1f",615238,"7051","Luckymine-Millvilla-Auburn complex, 15 to 30 percent slopes","provisional","Mined land",1,3,30,NA,NA,NA,NA,NA,"low hill","NA","None"
"221",2405985,"2n89h",552167,"7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","provisional","Aquic Haploxeralfs",45,1,8,"moderately well","R018XI111CA","Fine, mixed, superactive, thermic Aquic Haploxeralfs","alluvium & slope alluvium & residuum","metavolcanics","depression & drainageway","MD","MD"
"222",2405986,"2n89h",552167,"7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","provisional","Loafercreek",34,1,12,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","residuum","metavolcanics","hill","MD","MD"
"136",2029016,"2n89h",552167,"7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","provisional","Dunstone",20,1,12,"well","F018XI200CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","residuum","metavolcanics","hill","S","S"
"137",2029017,"2n89h",552167,"7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","provisional","Rock outcrop",1,1,12,NA,NA,NA,NA,NA,"hill","NA","None"
"77",1842387,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Dunstone",54,3,15,"well","F018XI200CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","residuum","metavolcanics","hill","S","S-MD"
"76",1842385,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Loafercreek",32,3,15,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"453",2588500,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Auburn",5,3,15,"well","F018XI200CA","Loamy, mixed, superactive, thermic Lithic Haploxerepts","residuum","metavolcanics","hill","S","S"
"223",2405988,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Gopheridge",5,3,15,"well","F018XI201CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"256",2482902,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Mined land",2,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"78",1842389,"2mywp",551578,"7085","Dunstone-Loafercreek complex, 3 to 15 percent slopes","approved","Rock outcrop",2,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"211",2405975,"2x296",758289,"7085b","Loafercreek-Dunstone complex, 3 to 15 percent slopes","provisional","Loafercreek",58,3,15,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"212",2405976,"2x296",758289,"7085b","Loafercreek-Dunstone complex, 3 to 15 percent slopes","provisional","Dunstone",25,3,15,"well","F018XI200CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","residuum","metavolcanics","hill","S","S-MD"
"219",2405983,"2x296",758289,"7085b","Loafercreek-Dunstone complex, 3 to 15 percent slopes","provisional","Gopheridge",10,3,15,"well","F018XI201CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"220",2405984,"2x296",758289,"7085b","Loafercreek-Dunstone complex, 3 to 15 percent slopes","provisional","Rock outcrop",5,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"257",2482903,"2x296",758289,"7085b","Loafercreek-Dunstone complex, 3 to 15 percent slopes","provisional","Mined land",2,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"62",1839563,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Loafercreek",50,15,30,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"61",1839562,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Gopheridge",25,15,30,"well","F018XI201CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"167",2073730,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Dunstone",13,15,30,"well","F018XI200CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","S","S-MD"
"169",2073733,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Motherlode",10,15,30,"well","F018XI202CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","D","D"
"258",2482904,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Mined land",1,5,20,NA,NA,NA,NA,NA,"hill","NA","None"
"166",2073729,"2mx8f",551101,"7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","approved","Rock outcrop",1,15,30,NA,NA,NA,NA,NA,"hill","NA","None"
"206",2405969,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Dunstone",40,15,30,"well","F018XI200CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","S","S-MD"
"208",2405971,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Loafercreek",31,15,30,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"207",2405970,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Gopheridge",20,15,30,"well","F018XI201CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"209",2405972,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Motherlode",5,15,30,"well","F018XI201CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","D","D"
"452",2588499,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Auburn",3,15,30,"well","F018XI200CA","Loamy, mixed, superactive, thermic Lithic Haploxerepts","colluvium & residuum","metavolcanics","hill","S","S"
"210",2405974,"2x294",758288,"7086a","Dunstone-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","provisional","Rock outcrop",1,15,30,NA,NA,NA,NA,NA,"hill","NA","None"
"63",1839564,"2mx8h",551100,"7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","provisional","Loafercreek",70,15,30,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"168",2073731,"2mx8h",551100,"7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","provisional","Gopheridge",20,15,30,"well","F018XI202CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"268",2485290,"2mx8h",551100,"7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","provisional","Jasperpeak",9,15,30,"well","F018XI201CA","Loamy, mixed, superactive, thermic Lithic Haploxeralfs","colluvium & residuum","metavolcanics","hill","S","S"
"445",2548333,"2mx8h",551100,"7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","provisional","Rock outcrop",1,15,30,NA,NA,NA,NA,NA,"hill","NA","None"
"94",1844294,"20mn5",552165,"7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","approved","Loafercreek",50,30,60,"well","F018XI201CA","Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD-D"
"104",1860171,"20mn5",552165,"7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","approved","Gopheridge",24,30,60,"well","F018XI201CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","MD","MD"
"95",1844295,"20mn5",552165,"7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","approved","Motherlode",10,30,60,"well","F018XI201CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","D","D"
"194",2250133,"20mn5",552165,"7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","approved","Gardellones",5,30,60,"well","F018XI202CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","metavolcanics","hill","D","D"
"178",2074001,"20mn5",552165,"7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","approved","Jasperpeak",5,30,60,"well","F018XI200CA","Loamy-skeletal, mixed, superactive, thermic Lithic Haploxeralfs","colluvium & residuum","metavolcanics","hill","S","S"
