STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro,Basin,Owner,Maintenance,Operator,Map,Collect,County Name,Basin Name,Agency Name,Hydro Area,Sensors,
CWS,CRABTREE WEATHER STATION,226,37.725,-120.6006,LA GRANGE,6,8601, , ,150,24,0,STANISLAUS,TUOLUMNE R,Stanislaus County,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,26,77,78",
CXS,CARSON PASS,8353,38.6924,-120.0021,CARSON PASS,9,7701, , ,54,18,0,ALPINE,AMERICAN R,Natural Resources Conservation Service,SOUTH LAHONTAN,"2,3,4,18,82",
DAG,DAGGETTS PASS,7350,38.983,-119.883,,8,10601, , ,999,19,0,State of Nevada,LAKE TAHOE,None Specified,NORTH LAHONTAN,"3,18,82",
DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,9,37.8928,-121.6025,BYRON,6,9001, , ,1,23,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,"1,14,141,144",
DBF,DUBLIN-SAN RAMON FIRE HOUSE,355,37.732,-121.927,DUBLIN,2,2001, , ,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,"2,16,45",
DDC,DARBEE DITCH NR CALLAHAN,3400,41.316,-122.8686,CALLAHAN,1,601, , ,707,3,0,SISKIYOU,SCOTT R,CA Dept of Water Resources, NRO,NORTH COAST,"1,165,178",
DDR,DODGE RIDGE,8150,38.19,-119.927,,6,8601, , ,999,19,0,TUOLUMNE,TUOLUMNE R,None Specified,SAN JOAQUIN RIVER,"3,18,82",
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,10,38.013,-121.671,OAKLEY,6,9001, , ,58,17,0,CONTRA COSTA,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,"1,20,21,25,61,100,221,222,223,224",
EBB,EBBETTS PASS,8700,38.561,-119.808,MARKLEEVILLE,8,10701, , ,54,19,0,ALPINE,CARSON R,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82",
EBY,ELK BAYOU,248,36.124929,-119.356306,TIPTON,7,9601, , ,900,31,2,TULARE,TULE R,Kaweah Delta Water Conservation District,TULARE LAKE,"1,14,20",
EDV,COYOTE CREEK AT EDENVALE,190,37.271,-121.796,EDENVALE,2,2201, , ,219,23,0,SANTA CLARA,COYOTE WASH,Santa Clara Valley Water District,SAN FRANCISCO BAY,"1,169",
ENB,ENGLEBRIGHT (YCWA),551,39.239,-121.267,MARYSVILLE,5,7401, , ,83,13,0,NEVADA,YUBA R,Yuba County Water Agency,SACRAMENTO RIVER,"6,15,76",
ER5,EEL R @FERNBRIDGE-PIER 5 (CALTRANS),30,40.613,-124.202,FERNBRIDGE,1,1201, , ,6,6,0,HUMBOLDT,EEL R,CA Dept of Transportation,NORTH COAST,"14,95",
ERB,EUREKA BOWL,6800,39.755,-120.72,,5,7301, , ,2,14,0,PLUMAS,FEATHER R,CA Dept of Water Resources, Beckwourth,SACRAMENTO RIVER,"3,18,82",
ERK,EUREKA WOODLEY ISLAND,20,40.8,-124.167,EUREKA,1,1201, , ,40,6,0,HUMBOLDT,EEL R,National Weather Service,NORTH COAST,"2,45",
EST,ESTRELLA RIVER NEAR ESTRELLA,672,35.717,-120.639,PASO ROBLES,3,3301,700,999,5,37,0,SAN LUIS OBISPO,SALINAS R,USGS and DWR,CENTRAL COAST,"1,14,16,20",
FLL,FALLEN LEAF LAKE,6250,38.932,-120.056,SOUTH LAKE TAHOE,8,10601, , ,54,18,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82",
FLR,FLORENCE LAKE (SCE),7325,37.267,-118.967,BIG CREEK,6,9001, , ,68,26,0,FRESNO,SAN JOAQUIN R,Southern California Edison Company, Big Creek,SAN JOAQUIN RIVER,"2,15,45",
FR1,FARMINGTON CENTRAL ID CANAL,180,37.915,-120.935,FARMINGTON,6,8451, , ,56,24,0,SAN JOAQUIN,LITTLEJOHN CR,US Army Corps of Engineers,SAN JOAQUIN RIVER,"85",
FRF,FAIRFIELD,40,38.267,-122.067,FAIRFIELD,2,1901, , ,40,16,0,SOLANO,NAPA R,National Weather Service,SAN FRANCISCO BAY,"2",
FRL,FRENCH LAKE,6664,39.44,-120.544,SIERRA CITY,5,7401, , ,129,14,0,NEVADA,YUBA R,Nevada County,SACRAMENTO RIVER,"15",
FRO,FRESNO WB AIRPORT,328,36.767,-119.717,FRESNO,7,9801, , ,40,31,0,FRESNO,TULARE LAKE,National Weather Service,TULARE LAKE,"2,45",
FRR,FORT ROSS,112,38.517,-123.25,FORT ROSS,1,1601, , ,40,15,0,SONOMA,RUSSIAN R,National Weather Service,NORTH COAST,"2",
GML,GEM LAKE,9150,37.752,-119.162,AUBERRY,9,10901, , ,69,25,0,MONO,MONO LAKE,Southern California Edison Company, Bishop,SOUTH LAHONTAN,"3,18,82",
GNM,GARDNER MEADOW,6800,38.408,-120.037,,6,8501, , ,999,18,0,TUOLUMNE,STANISLAUS R,None Specified,SAN JOAQUIN RIVER,"3,18,82",
GRD,GIRARD,4800,41.133,-122.283,CASTELLA,5,6501, , ,50,3,0,SHASTA,SACRAMENTO R,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
GRL,FEATHER RIVER NEAR GRIDLEY,92,39.3665771484375,-121.647369384766,GRIDLEY,5,7301, , ,703,999,0,BUTTE,FEATHER R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1,5,14,20,25,27,41,100,169",
GRM,GREEN MOUNTAIN,7900,37.555,-119.238,MAMMOTH LAKES,6,9001,50,700,50,25,0,MADERA,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82",
GRO,GRANT GROVE,6600,36.733,-118.967,GRANT GROVE,7,9401, , ,10,32,0,TULARE,KINGS R,US National Forest,TULARE LAKE,"2,45",
GYN,GREEN VLY CK NORTH OF CORDELIA JUNCTION,0,38.2206,-122.148,FAIRFIELD,5,8101, , ,705,16,0,SOLANO,DELTA,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,14",
GYR,GRAY ROCK LAKES,6200,41.217,-122.417,DUNSMUIR,5,6501, , ,33,3,0,SISKIYOU,SACRAMENTO R,Mount Shasta Ranger District,SACRAMENTO RIVER,"3,18,82",
GYS,GOODYEAR SLOUGH,0,38.118,-122.095,BENICIA,5,8101, , ,705,16,0,SOLANO,DELTA,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,5,14,25,100",
HCL,HUCKLEBERRY LAKE,7800,38.102,-119.745,,6,8601, , ,37,19,0,TUOLUMNE,TUOLUMNE R,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82",
HDZ,HERNANDEZ,3752,36.383,-120.854,BITTERWATER,3,3101, , ,3,30,0,SAN BENITO,SAN BENITO R,CAL FIRE,CENTRAL COAST,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78",
HKM,HOCKETT MEADOWS,8500,36.382,-118.655,MINERAL KING,7,9501, , ,53,32,0,TULARE,KAWEAH R,Sequoia and Kings Canyon National Parks,TULARE LAKE,"3,18,82",
HLK,HELLS KITCHEN,6550,38.417,-120.1,ARNOLD,6,8501, , ,36,18,0,CALAVERAS,STANISLAUS R,Calaveras Ranger District,SAN JOAQUIN RIVER,"3,18,82",
HST,AMERICAN RIVER AT H STREET BRIDGE,45,38.5687103271484,-121.423690795898,SACRAMENTO,5,7701,700,999,703,999,0,SACRAMENTO,AMERICAN R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1,14,169",
HTH,HETCH HETCHY,3870,37.95,-119.783,YOSEMITE,6,8601, , ,94,25,0,TUOLUMNE,TUOLUMNE R,Hetch Hetchy Water and Power,SAN JOAQUIN RIVER,"2,6,15,22,23,45,76,203",
HUL,HULL MTN,6461,39.53333,-122.94833,WILLITS,1,1201, , ,700,12,2,MENDOCINO,EEL R,CA Dept of Water Resources/Flood Management,NORTH COAST,"3,4,9,10,12,14,18,77,78,82,103,104,105,106,107,108,194,195,196,197,198,199",
INP,INDEPENDENCE LAKE NEAR TRUCKEE,6921,39.452,-120.29,TRUCKEE,8,10501,999,999,58,14,0,SIERRA,TRUCKEE R,US Geological Survey,NORTH LAHONTAN,"2,4,6,14,15,22,30,31,32,45",
JAR,JARBO GAP,2700,39.736,-121.489,PARADISE,5,7301, , ,3,13,0,BUTTE,FEATHER R,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,17,26,30,31,32,45,77,78",
JBR,YUBA RIVER AT JONES BAR,1060,39.292,-121.104,NORTH SAN JUAN,5,7401, , ,158,13,0,NEVADA,YUBA R,Yuba County,SACRAMENTO RIVER,"1,20,204,210",
JFR,JAWBONE LAVA FLAT RAWS,4020,37.8872,-120.0479,GROVELAND,6,8601, , ,44,24,2,TUOLUMNE,TUOLUMNE R,US Forest Service,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,77,78",
JMP,STANISLAUS R AT JACOB MEYERS PARK,98,37.743,-120.942,RIVERBANK,6,8501, , ,801,24,0,SAN JOAQUIN,STANISLAUS R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
JPD,JOHN'S PLACE,2850,39.2165,-120.98,GRASS VALLEY,5,7401, , ,1,14,0,NEVADA,YUBA R,CA Dept of Water Resources,SACRAMENTO RIVER,"4,12,16",
KCH,KELSEY CK NR HOBERGS,2300,38.8531,-122.7589,HOBERGS,5,8001, , ,58,15,2,LAKE,PUTAH CR,US Geological Survey,SACRAMENTO RIVER,"1,14",
KES,KESWICK RESERVOIR,596,40.601,-122.443,REDDING,5,6501, , ,50,8,0,SHASTA,SACRAMENTO R,US Bureau of Reclamation,SACRAMENTO RIVER,"6,7,15,22,23,48,71,76",
KFS,KNIGHTS FERRY AT SONORA ROAD BRIDGE,200,37.819,-120.667,KNIGHTS FERRY,6,8501, , ,801,24,0,STANISLAUS,STANISLAUS R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
KKV,KERN R AT KERNVILLE,2635,35.7544,-118.4225,KERNVILLE,7,9701, , ,56,39,0,KERN,KERN R,US Army Corps of Engineers,TULARE LAKE,"1,14,20",
KLY,KELLY RIDGE TUNNEL,886,39.5115,-121.46196,OROVILLE,5,7301, , ,80,13,2,BUTTE,FEATHER R,South Feather Water and Power Agency,SACRAMENTO RIVER,"6",
LAH,LA HONDA,425,37.3053,-122.2539,SAN GREGORIO,2,2701, , ,3,22,0,SAN MATEO,SAN GREGORIO CR,CAL FIRE,SAN FRANCISCO BAY,"2,4,9,10,11,12,13,14,26,77,78",
LCF,LITTLEJOHN CK AT FARMINGTON,113,37.9267,-121.0017,STOCKTON,6,9001, , ,56,23,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"1,14",
LCH,LINDO CHANNEL NR CHICO,183,39.7491607666016,-121.868896484375,CHICO,5,6501, , ,1,13,0,BUTTE,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20",
LIB,LIBERTY ISLAND @ APPROX CNTR S END,0,38.2421,-121.6849,RIO VISTA,5,6501, , ,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,"1,20,21,25,61,100,221",
LIS,YOLO BYPASS AT LISBON,0,38.474781036377,-121.588226318359,FREEPORT,5,6501,700,999,1,999,0,YOLO,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,21,25,27,28,61,62,100,141,144,169",
LKW,LAKE KAWEAH WEATHER,570,36.4153,-118.6975,VISALIA,7,9501, , ,56,32,0,TULARE,KAWEAH R,US Army Corps of Engineers,TULARE LAKE,"2,4,9,10,12,14,17,26,29,47,175",
LMD,LONG MEADOW (KINGS R),8500,37.13,-118.92,,7,9401, , ,61,26,0,FRESNO,KINGS R,Pacific Gas and Electric Company, Auberry,TULARE LAKE,"3,18,82",
LMO,LOOMIS OBSERVATORY,733,38.815,-121.113,ROSEVILLE,5,7701, , ,73,17,0,PLACER,AMERICAN R,City of Roseville,SACRAMENTO RIVER,"16",
LMW,LONG MEADOW (AMERICAN R),5600,38.972,-120.372,,5,7701, , ,999,18,0,EL DORADO,AMERICAN R,None Specified,SACRAMENTO RIVER,"3,18,82",
LOL,LOON LAKE (SNOW COURSE),6400,38.983,-120.32,,5,7701, , ,999,18,0,EL DORADO,AMERICAN R,None Specified,SACRAMENTO RIVER,"3,18,82",
LOR,LINDA CREEK AT OAK RIDGE ROAD,150,38.731,-121.266,ROSEVILLE,5,7701, , ,73,17,0,PLACER,AMERICAN R,City of Roseville,SACRAMENTO RIVER,"1",
LRT,LITTLE RIVER NEAR TRINIDAD,18,41.0098495483398,-124.08145904541,TRINIDAD,1,1201, , ,58,1,0,HUMBOLDT,EEL R,US Geological Survey,NORTH COAST,"1,14,20",
LSM,LOS MEDONOS,130,37.9973,-121.8564,ANTIOCH,2,2801, , ,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,"16",
LSP,LAKE SPAULDING (PG&E),5156,39.317,-120.633,EMIGRANT GAP,5,7401, , ,60,14,0,NEVADA,YUBA R,Pacific Gas & Electric,SACRAMENTO RIVER,"2,12,14,16,30,31,32,45",
LVC,LAKE VALLEY CANAL,5410,39.299,-120.642,SODA SPRINGS ,5,7701, , ,60,14,0,PLACER,AMERICAN R,Pacific Gas & Electric,SACRAMENTO RIVER,"69,110",
LVG,LEEVINING RS,6797,37.95,-119.117,LEE VINING,9,10901, , ,40,25,0,MONO,MONO LAKE,National Weather Service,SOUTH LAHONTAN,"2",
LWD,LOWDEN,3120,40.69,-122.831,WEAVERVILLE,1,901, , ,59,8,0,TRINITY,TRINITY R,US Bureau of Land Management,NORTH COAST,"2,4,9,10,12,13,14,77,78",
LWL,CACHE CREEK AT LOWER LAKE,1280,38.924,-122.565,LAKEPORT,5,7901, , ,117,16,0,LAKE,CACHE CR,Lake County,SACRAMENTO RIVER,"1",
LYO,LYONS VALLEY,3200,39.125,-123.071,UPPER LAKE,1,1601, , ,59,11,0,LAKE,RUSSIAN R,US Bureau of Land Management,NORTH COAST,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
M59,MERCED RIVER NEAR HWY 59 BRIDGE SNELLING,200,37.4697,-120.50275,SNELLING,6,8701, , ,801,24,0,MERCED,MERCED R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
MCD,MCCLOUD RIVER NEAR MCCLOUD,2711,41.186,-122.059,MCCLOUD,5,6601, , ,60,3,0,SISKIYOU,MC CLOUD R,Pacific Gas & Electric,SACRAMENTO RIVER,"1,14,20",
MCH,MILL CREEK BELOW HWY 99,230,40.0400581359863,-122.104629516602,LOS MOLINOS,5,6501, , ,1,8,0,TEHAMA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41",
MCK,BEAR CREEK AT MC KEE ROAD,167,37.3092,-120.4456,PLANADA,6,9001, , ,56,24,0,MERCED,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"1,20,169",
MDE,MODESTO IRRIG DISTRICT OFFICE,91,37.65,-121.001,MODESTO,6,8601, , ,206,23,0,STANISLAUS,TUOLUMNE R,Modesto Irrigation District,SAN JOAQUIN RIVER,"2",
MDY,MOUNT DYER 1,7100,40.243,-121.035,,5,7301, , ,62,9,0,LASSEN,FEATHER R,Pacific Gas and Electric Company, Rogers Flat,SACRAMENTO RIVER,"3,18,82",
MIL,FRIANT DAM (MILLERTON),581,37.001,-119.705,FRIANT,6,9001, , ,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,6,7,8,14,15,22,23,45,71,74,76,85,94,200",
MIM,MINERAL (DWR-2),4875,40.35,-121.6,CHESTER,5,7001, , ,40,9,0,TEHAMA,SACTO VLY NE,National Weather Service,SACRAMENTO RIVER,"2,45",
MNE,MERCED RIVER BELOW NEW EXCHEQUER DAM,414,37.57927,-120.2831,SNELLING,6,8701, , ,801,24,0,MARIPOSA,MERCED R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
MOD,TUOLUMNE RIVER AT MODESTO,90,37.6268768310547,-120.987991333008,MODESTO,6,8601,700,999,58,24,0,STANISLAUS,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"1,5,14,20,25,41,100,169",
MPL,MAMMOTH POOL,3330,37.329,-119.328,BIG CREEK,6,9001, , ,168,25,0,FRESNO,SAN JOAQUIN R,Southern California Edison Company,SAN JOAQUIN RIVER,"15",
MRF,MAD R ABV RUTH RESERVOIR NR FOREST GLEN,2700,40.2843132019043,-123.335304260254,FOREST GLEN,1,1101, , ,58,7,0,TRINITY,MAD R,US Geological Survey,NORTH COAST,"1,14,20",
MRO,MOUNT ROSE,9000,39.353,-119.898,TAHOE CITY,8,10501, , ,54,26,0,State of Nevada,TRUCKEE R,Natural Resources Conservation Service,NORTH LAHONTAN,"3,18,82",
MSA,MURRAY CK NR SAN ANDREAS,880,38.2116,-120.6751,SAN ANDREAS,6,8301, , ,58,17,2,CALAVERAS,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,16,45",
MSC,MOUNT SHASTA CITY,3590,41.317,-122.317,MOUNT SHASTA CITY,5,6501, , ,40,3,0,SISKIYOU,SACRAMENTO R,National Weather Service,SACRAMENTO RIVER,"2,45",
MTD,MOUNT DIABLO,3849,37.8816,-121.9141,LAYFAYETTE,2,2001, , ,303,23,0,CONTRA COSTA,EAST BAY,San Ramon Valley Fire District,SAN FRANCISCO BAY,"2,4,9,10,11,12,13,14,17,26,30,31,32,77,78",
MTS,MOUNT SHASTA,3545,41.313,-122.316,MOUNT SHASTA CITY,5,6501,700,700,700,3,0,SISKIYOU,SACRAMENTO R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45,203",
MUM,MUMBO BASIN,5650,41.197,-122.523,MOUNT SHASTA CITY,1,901,50,700,50,3,0,TRINITY,TRINITY R,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,30,31,32,45,82",
MWR,EASTSIDE BYPASS AT MERCED NWR,100,37.177254,-120.652117,EL NIDO,5,9001, , ,50,24,2,MERCED,SAN JOAQUIN R,US Bureau of Reclamation,SACRAMENTO RIVER,"1,14,25,100",
NEW,SAN JOAQUIN RIVER NEAR NEWMAN,90,37.3504943847656,-120.977149963379,NEWMAN,6,9001,700,999,5,24,0,MERCED,SAN JOAQUIN R,USGS and DWR,SAN JOAQUIN RIVER,"1,14,20,41,169",
NFD,NF AMERICAN R AT NORTH FORK DAM,715,38.9360084533691,-121.023834228516,AUBURN,5,7701, , ,58,17,0,PLACER,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"1,14,20,41",
NFR,NORTH FORK R S,2630,37.233,-119.5,BASS LAKE,6,9001, , ,44,25,0,MADERA,SAN JOAQUIN R,US Forest Service,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78,203",
NIC,FEATHER RIVER NEAR NICOLAUS,43,38.889835357666,-121.604759216309,NICOLAUS,5,7301,700,999,700,999,0,SUTTER,FEATHER R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"1,2,14,169",
NLL,NELLIE LAKE,8000,37.257,-119.225,,6,9001, , ,68,25,0,FRESNO,SAN JOAQUIN R,Southern California Edison Company, Big Creek,SAN JOAQUIN RIVER,"3,18,82",
NML,NEW MELONES RESERVOIR,1135,37.9481,-120.525,SONORA,6,8501, , ,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"6,8,15,22,23,45,48,68,71,74,76,85,94,200",
NPH,NAPA R NR ST HELENA,170,38.498,-122.427,SAINT HELENA,2,1901, , ,58,16,0,NAPA,NAPA R,US Geological Survey,SAN FRANCISCO BAY,"65,66",
NSW,NEW SPICER MEADOW RESERVOIR,6515,38.393,-119.998,BEAR VALLEY,6,8501, , ,105,18,5,TUOLUMNE,STANISLAUS R,Calaveras County,SAN JOAQUIN RIVER,"6,7,23",
OAD,OLD RIVER NEAR DMC ABOVE DAM,4,37.8103218078613,-121.542106628418,TRACY,6,9001, , ,1,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,"1,14,25,27,28,61,62,100,141,144",
OCL,ORESTIMBA CK AT RIVER RD NR CROWS LNDG,65,37.4135475158691,-121.016044616699,CROWS LANDING,6,9001, , ,58,23,0,STANISLAUS,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,25,41,100",
OKN,O'KANE (BLUE LAKE),850,40.9059638977051,-123.815338134766,ARCATA,1,1001,58,58,5,7,0,HUMBOLDT,REDWOOD CR,USGS and DWR,NORTH COAST,"1,2,14,20,45",
OKW,OAKDALE WEATHER STATION,186,37.7347,-120.845,OAKDALE,6,8501, , ,150,24,0,STANISLAUS,STANISLAUS R,Stanislaus County,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,26,77,78",
ONN,ONION CREEK,6100,39.275,-120.358,,5,7701, , ,43,14,0,PLACER,AMERICAN R,Central Sierra Snow Lab,SACRAMENTO RIVER,"3,18,82",
ORQ,OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,0,38.0272,-121.5645,BETHEL ISLAND,6,9001, , ,5,17,0,SAN JOAQUIN,SAN JOAQUIN R,USGS and DWR,SAN JOAQUIN RIVER,"1,20,21,25,27,100",
OSJ,OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,0,38.0711,-121.5789,TERMINOUS,6,8101, , ,5,17,0,SAN JOAQUIN,DELTA,USGS and DWR,SAN JOAQUIN RIVER,"1,20,21,25,27,28,61,100,222,223,224",
PAA,PALO ALTO 3E,7,37.439,-122.107,PALO ALTO,2,2801, , ,143,22,0,SANTA CLARA,SF BAY,Santa Clara County,SAN FRANCISCO BAY,"16",
PAN,PANAMINT,6880,36.117,-117.083,PANAMINT,9,11301, , ,59,33,0,INYO,AMARGOSA R,US Bureau of Land Management,SOUTH LAHONTAN,"2,4,9,10,12,13,14,26,30,31,32,77,78",
PCM,PILOT CREEK BELOW MUTTON CANYON,3760,38.9235153198242,-120.641868591309,GEORGETOWN,5,7601, , ,58,18,0,EL DORADO,RUBICON R,US Geological Survey,SACRAMENTO RIVER,"1,14,20",
PCV,PLACERVILLE,1850,38.7,-120.82,PLACERVILLE,5,7701, , ,40,18,0,EL DORADO,AMERICAN R,National Weather Service,SACRAMENTO RIVER,"2,45",
PDP,PARADISE PEAK,5800,40.558,-122.748,LEWISTON,1,901, , ,26,8,0,TRINITY,TRINITY R,Hayfork Ranger District,NORTH COAST,"3,18",
PGM,PEREGOY MEADOWS,7000,37.667,-119.625,,6,8701, , ,52,25,0,MARIPOSA,MERCED R,Yosemite National Park,SAN JOAQUIN RIVER,"3,18,82",
PKC,PIKE COUNTY,3714,39.475,-121.202,YUBA CITY,5,7401, , ,44,13,0,YUBA,YUBA R,US Forest Service,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,30,31,32,45,77,78",
PMC,PUMPING PLANT AT MIDDLE CREEK,1380,39.1423149108887,-122.902275085449,UPPER LAKE,2,7901, , ,1,999,0,LAKE,CACHE CR,CA Dept of Water Resources,SAN FRANCISCO BAY,"1,14,16",
PNT,PINEHURST,4060,36.68528,-119.0,PINEHURST,6,9401, , ,44,31,2,FRESNO,KINGS R,US Forest Service,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,17,26,31,32,45,77,78",
PTA,MATTOLE RIVER NEAR PETROLIA,40,40.3131904602051,-124.283378601074,RIO DELL,1,1401, , ,58,6,0,HUMBOLDT,MATTOLE R,US Geological Survey,NORTH COAST,"1,14,20",
PTS,PITTSBURG,10,38.033,-121.883,PITTSBURG,5,8101, , ,50,17,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,"14,25,100,102",
PUT,PUTAH CREEK NEAR WINTERS,161,38.5151863098145,-122.081916809082,WINTERS,5,8001, , ,58,16,0,YOLO,PUTAH CR,US Geological Survey,SACRAMENTO RIVER,"1,14,20",
Q04,WQ04,1383,39.39646,-123.342,WILLITS,1,1201, , ,6,11,31,MENDOCINO,EEL R,CA Dept of Transportation,NORTH COAST,"1,4,5,25,27,61,62",
Q12,WQ12,1358,39.41833,-123.341,WILLITS,1,1201, , ,6,11,31,MENDOCINO,EEL R,CA Dept of Transportation,NORTH COAST,"1,4,5,25,27,61,62",
QRS,QUINN RANGER STATION,8350,36.328,-118.573,,7,9701, , ,53,32,0,TULARE,KERN R,Sequoia and Kings Canyon National Parks,TULARE LAKE,"3,18,82",
RDF,RED BLUFF (ALERT),237,40.179,-122.229,RED BLUFF,5,6501, , ,40,8,0,TEHAMA,SACRAMENTO R,National Weather Service,SACRAMENTO RIVER,"1,20",
RDN,REDINGER LAKE,1403,37.145,-119.449,FRIANT,6,9001, , ,168,25,0,MADERA,SAN JOAQUIN R,Southern California Edison Company,SAN JOAQUIN RIVER,"15",
RIP,STANISLAUS RIVER AT RIPON,73,37.7296524047852,-121.110496520996,RIPON,6,8501, , ,58,23,0,SAN JOAQUIN,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,25,41,100",
RLN,RIO LINDA W.C.,45,38.7,-121.448,RIO LINDA,5,7701, , ,134,17,0,SACRAMENTO,AMERICAN R,Sacramento County,SACRAMENTO RIVER,"2",
RRH,RUSSIAN R NR HEALDSBERG,77,38.613,-122.835,HEALDSBURG,1,1601, , ,58,16,0,SONOMA,RUSSIAN R,US Geological Survey,NORTH COAST,"65,66",
RRM,RED ROCK MOUNTAIN,6700,41.023,-122.885,TRINITY CENTER,1,901,50,700,50,3,0,TRINITY,TRINITY R,US Bureau of Reclamation,NORTH COAST,"3,4,14,18,82",
RSS,ROSSMOOR,146,37.8706,-122.0644,WALNUT CREEK,2,2001, , ,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,"16",
RVB,SACRAMENTO RIVER AT RIO VISTA BRIDGE,0,38.159737,-121.686355,RIO VISTA,5,6501,700,999,705,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,4,5,9,10,14,25,26,27,28,61,62,100,141,146,169",
RVD,RAVENDALE 5 ESE,5350,40.79,-120.28,SUSANVILLE,8,10401, , ,999,10,0,LASSEN,SUSAN R,None Specified,NORTH LAHONTAN,"2",
S1C,SAN JOAQUIN NO. 1 CONDUIT,2450,37.2831,-119.815,NORTH FORK,6,9001, , ,61,25,0,MADERA,SAN JOAQUIN R,Pacific Gas and Electric Company, Auberry,SAN JOAQUIN RIVER,"1,14",
SAN,SAN LUIS NWR,65,37.182,-120.794,LOS BANOS,6,9001, , ,403,24,0,MERCED,SAN JOAQUIN R,US Fish & Wildlife Service,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,26,77,78",
SCS,SCOTTS CK NR LAKEPORT,1400,39.0954475402832,-122.961044311523,LAKEPORT,5,6501, , ,1,12,0,LAKE,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20",
SDA,SUGAR CK BLW DARBEE DITCH NR CALLAHAN,3400,41.3156814575195,-122.869483947754,CALLAHAN,1,601, , ,1,3,0,SISKIYOU,SCOTT R,CA Dept of Water Resources,NORTH COAST,"1,14,165,178",
